UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID
UEI-IMD-FL-2015-0021,2015-07-16,2015-07-17,1,Heavy rains (Cloud Burst),NA,"Hamirpur, Kangra, Shimla Sirmaur and Solan ",HIMACHAL PRADESH,NA,NA,NA,NA,3,NA,NA,NA,3 worker washed away due to cloud burst at Puncha Nallah in Kullu Dist,i)Damage to crops reported. ii) 2 trucks loaded with material washed away in Solan Dist. iii) Bridge collapsed at Sadhupul Khud in Solan Dist. ,IMD,NA
UEI-IMD-FL-2015-0022,2015-07-26,2015-07-26,0,Heavy rains,NA,Shimla ,HIMACHAL PRADESH,NA,NA,NA,NA,3,NA,NA,NA,3   persons   including  2   children  died   due  to  landslide. ,NA,IMD,NA
UEI-IMD-FL-2015-0023,2015-08-08,2015-12-08,122,Heavy rains (Flood in Swan river),NA,"Bilaspur, Chamba, Hamirpur, Kangra,  Mandi, Shimla, Sirmaur, Una",HIMACHAL PRADESH,NA,NA,NA,NA,4,2,NA,NA,") 3 persons died due to landslide. One man swept away in Swan river, Una Dist. & 2 persons missing. ii) Several cattle heads perished.","i) Damage to vegetables & Maize   crops reported. ii) A bus stand at Dharampur, Dist. Mandi inundated. iii) Several vehicles washed away in flashflood. iv) 100 shops submerged. v) Several roads including Theog Hatkoti road, Kangra - Dharamshala NH-88 roads blocked due to landslides",IMD,NA
UEI-IMD-FL-2015-0024,2015-08-19,2015-08-19,0,Heavy rains,NA,Kullu,HIMACHAL PRADESH,NA,NA,NA,NA,10,NA,NA,NA,10 persons died due to landslide.,Landslide,IMD,NA
UEI-IMD-FL-2015-0025,2015-03-21,2015-03-21,0,Heavy rains,NA,Pulwama,JAMMU & KASHMIR,NA,NA,NA,NA,1,1,NA,NA,One person died & one injured due to house collapsed by landslide,NA,IMD,NA
UEI-IMD-FL-2015-0026,2015-03-30,2015-03-30,0,Heavy rains,NA,Budgam,JAMMU & KASHMIR,NA,NA,NA,NA,16,NA,NA,NA,16 persons died due to landslide,i) Damage to 18 houses reported.  ii) National highway remained closed,IMD,NA
UEI-IMD-FL-2015-0027,2015-04-04,2015-04-04,0,Heavy rains,NA,Jammu & Kashmir ,JAMMU & KASHMIR,NA,NA,NA,NA,24,NA,NA,NA,24 persons died due to landslide & landslips,Massive Landslide,IMD,NA
UEI-IMD-FL-2015-0028,2015-06-07,2015-06-07,0,Cloud Burst,NA,Pulwama,JAMMU & KASHMIR,NA,NA,NA,NA,1,NA,NA,NA,One woman died,NA,IMD,NA
UEI-IMD-FL-2015-0029,2015-09-07,2015-07-16,Diffing the dates,Heavy rains,NA,"Anantnag, Ganderbal ",JAMMU & KASHMIR,NA,NA,NA,NA,11,2,NA,NA,11 persons died &  2 others missing,i) Several villages washed away. ii) Damage to about 50 houses reported. iii) Extensive damage to Government owned Trout Fish Hatcheries reported.  ,IMD,NA
UEI-IMD-FL-2015-0030,2015-07-24,2015-07-24,0,Cloud Burst,NA,Jammu,JAMMU & KASHMIR,NA,NA,NA,NA,3,NA,NA,NA,3 persons died.,Damage to several houses reported,IMD,NA
